@relation syntheticData2multinomial

@attribute a {1,2}
@attribute e {1,2}

@data
2,2
2,2
2,1
2,1
1,2
1,1
2,2
1,2
1,1
2,1
2,2
2,1
1,2
2,2
2,2
1,2
2,2
2,2
2,2
2,2
2,2
2,1
2,1
2,2
2,2
1,2
2,2
2,2
1,2
1,2
1,2
2,2
2,2
2,2
2,1
2,2
2,1
2,2
1,2
1,2
2,1
2,2
2,2
2,2
2,2
2,1
2,2
2,1
2,1
2,1
2,2
2,2
2,2
2,1
2,2
1,2
2,2
2,2
2,2
1,2
2,2
1,1
2,2
2,2
1,2
2,2
2,2
2,1
1,2
2,1
2,1
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,2
1,2
2,2
2,1
2,2
2,1
2,2
1,1
2,2
1,2
2,2
2,1
2,2
1,2
1,2
1,2
2,2
1,2
2,1
2,2
2,2
2,2
1,2
2,2
1,2
2,2
2,1
2,2
2,2
2,2
2,1
2,1
2,1
2,2
2,1
2,2
1,2
1,2
2,2
2,2
2,1
2,1
2,2
2,2
2,2
1,2
1,2
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,1
2,2
2,2
1,2
2,2
2,2
2,1
2,2
1,1
2,2
1,1
1,2
2,2
2,2
2,2
2,1
2,2
2,1
2,2
2,1
2,2
2,2
2,2
1,2
2,2
2,2
2,2
2,2
2,2
1,2
2,2
2,2
2,1
2,2
1,2
2,2
2,2
2,2
2,2
1,2
1,2
2,1
1,2
2,2
2,2
1,1
1,2
2,2
2,1
2,2
2,2
1,2
2,1
1,1
2,2
1,2
2,1
2,2
2,1
1,2
2,2
1,2
2,2
2,2
1,2
2,1
2,2
2,2
2,1
1,1
1,2
1,2
1,2
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
2,2
2,1
2,2
2,2
1,2
2,2
2,2
2,2
2,2
1,2
2,2
1,2
2,1
2,2
2,1
2,2
2,2
2,2
2,2
1,1
2,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,1
2,2
