@relation syntheticData3multinomial

@attribute a {1,2}
@attribute b {1,2,3}
@attribute e {1,2}

@data
2,3,2
2,3,2
2,3,1
2,3,1
1,2,2
1,1,1
2,3,2
1,3,2
1,2,1
2,2,1
2,2,2
2,3,1
1,2,2
2,1,2
2,3,2
1,3,2
2,3,2
2,3,2
2,3,2
2,3,2
2,3,2
2,3,1
2,3,1
2,2,2
2,2,2
1,1,2
2,1,2
2,2,2
1,3,2
1,1,2
1,3,2
2,3,2
2,2,2
2,3,2
2,2,1
2,3,2
2,2,1
2,2,2
1,2,2
1,2,2
2,3,1
2,3,2
2,3,2
2,3,2
2,2,2
2,1,1
2,3,2
2,3,1
2,2,1
2,3,1
2,3,2
2,3,2
2,1,2
2,2,1
2,3,2
1,3,2
2,2,2
2,3,2
2,1,2
1,2,2
2,2,2
1,3,1
2,3,2
2,2,2
1,3,2
2,3,2
2,3,2
2,2,1
1,1,2
2,2,1
2,3,1
2,1,2
2,3,1
2,3,2
2,2,2
2,2,2
2,2,2
2,3,2
2,3,2
1,3,2
2,3,2
2,3,1
2,2,2
2,3,1
2,2,2
1,3,1
2,3,2
1,2,2
2,3,2
2,3,1
2,2,2
1,3,2
1,3,2
1,1,2
2,2,2
1,3,2
2,2,1
2,3,2
2,2,2
2,3,2
1,3,2
2,2,2
1,2,2
2,3,2
2,2,1
2,3,2
2,3,2
2,3,2
2,2,1
2,1,1
2,3,1
2,3,2
2,1,1
2,3,2
1,2,2
1,3,2
2,3,2
2,2,2
2,3,1
2,2,1
2,3,2
2,3,2
2,3,2
1,2,2
1,3,2
2,2,2
2,3,2
2,1,2
2,3,1
2,1,2
2,3,2
2,3,2
2,3,1
2,3,2
2,3,2
1,3,2
2,3,2
2,2,2
2,2,1
2,3,2
1,3,1
2,3,2
1,3,1
1,3,2
2,3,2
2,3,2
2,1,2
2,3,1
2,3,2
2,2,1
2,2,2
2,3,1
2,2,2
2,3,2
2,1,2
1,3,2
2,2,2
2,2,2
2,3,2
2,3,2
2,3,2
1,3,2
2,3,2
2,3,2
2,3,1
2,2,2
1,3,2
2,2,2
2,3,2
2,2,2
2,2,2
1,2,2
1,2,2
2,3,1
1,2,2
2,2,2
2,2,2
1,3,1
1,3,2
2,3,2
2,3,1
2,3,2
2,2,2
1,1,2
2,3,1
1,3,1
2,2,2
1,3,2
2,2,1
2,3,2
2,2,1
1,2,2
2,2,2
1,1,2
2,1,2
2,3,2
1,3,2
2,2,1
2,2,2
2,3,2
2,3,1
1,3,1
1,3,2
1,2,2
1,1,2
2,3,1
2,3,2
2,2,2
2,3,2
2,3,2
2,2,2
2,3,2
2,3,2
2,2,2
1,3,2
2,2,2
2,3,1
2,3,2
2,2,2
1,3,2
2,2,2
2,1,2
2,3,2
2,3,2
1,2,2
2,2,2
1,2,2
2,3,1
2,2,2
2,3,1
2,3,2
2,2,2
2,3,2
2,2,2
1,2,1
2,3,2
1,3,2
1,1,2
2,2,2
2,2,2
2,3,2
2,3,2
2,3,2
2,3,2
2,3,1
2,2,2
2,2,2
1,3,2
2,3,2
1,2,2
2,3,1
2,3,1
2,3,2
1,3,2
2,3,1
2,3,2
2,3,2
2,3,1
2,3,2
2,2,1
2,3,2
1,3,1
2,3,2
1,3,1
2,3,2
2,3,2
1,3,2
2,1,2
2,2,2
1,2,2
2,2,2
2,3,2
2,3,1
2,2,1
2,3,2
2,2,2
1,3,2
2,1,2
2,3,1
2,3,2
2,3,2
1,2,2
2,3,1
2,2,1
1,2,2
1,3,2
2,3,2
2,3,2
2,3,1
2,1,2
2,2,1
2,2,2
2,3,2
2,2,2
2,2,2
2,3,1
2,3,2
2,2,2
2,3,1
2,3,2
2,2,2
1,1,1
1,3,2
2,2,1
2,3,2
2,2,2
1,3,1
2,3,1
2,3,2
1,3,2
1,1,2
2,3,2
2,3,2
2,3,2
2,3,2
1,2,2
2,2,2
2,3,2
1,3,2
2,3,1
1,2,2
2,3,2
2,1,1
2,3,2
2,3,2
2,3,1
1,3,1
1,3,2
1,2,2
1,3,2
1,2,1
2,3,1
1,3,2
2,1,2
1,3,2
2,3,2
2,2,2
1,3,2
1,2,2
2,2,2
2,3,1
2,3,2
2,3,1
1,3,2
2,3,2
2,2,1
2,3,2
2,3,2
2,2,2
1,2,1
1,3,1
2,3,2
2,2,2
2,3,2
2,3,2
2,3,2
2,3,2
1,3,2
2,3,2
2,3,1
1,1,2
1,2,2
2,3,1
2,3,2
2,3,1
2,2,1
2,2,1
2,3,1
2,2,2
1,3,1
2,2,2
2,3,2
2,3,2
2,2,2
2,3,2
2,3,1
2,2,2
2,1,1
1,2,1
2,2,2
2,3,1
1,3,1
2,2,2
2,1,1
1,3,2
1,3,1
2,1,1
2,2,2
2,3,1
2,2,2
2,2,2
2,3,2
1,3,1
2,3,1
2,3,1
2,2,2
1,3,2
2,1,2
2,3,1
2,3,1
2,3,1
2,3,2
2,1,2
2,2,2
2,3,2
1,3,1
1,2,2
2,3,1
2,3,1
2,2,1
2,3,2
2,3,2
2,3,2
2,1,2
1,3,2
2,1,2
1,3,2
2,3,1
2,3,2
1,3,2
2,3,2
2,3,2
2,1,1
2,3,2
2,2,1
2,3,1
2,2,1
2,3,1
1,2,2
2,3,2
2,3,2
2,3,2
2,3,2
2,2,2
2,2,1
2,3,1
2,2,2
2,2,2
2,2,2
1,1,1
2,2,1
2,2,1
2,3,2
1,2,2
2,3,1
1,3,2
2,2,1
2,2,2
2,3,2
1,3,1
2,2,2
2,1,2
2,3,2
2,2,2
2,2,1
2,3,2
2,2,2
2,3,2
2,3,1
2,3,1
1,3,1
2,3,2
2,1,2
1,3,2
1,2,2
1,2,2
2,3,1
1,2,2
2,3,1
1,2,2
2,1,1
2,3,2
2,3,2
2,2,2
2,3,2
2,2,2
2,1,2
2,3,1
2,3,1
1,3,2
2,3,2
2,3,2
1,3,2
1,3,2
2,3,2
2,1,2
2,1,2
1,1,2
2,2,1
1,3,2
1,2,2
2,3,2
1,3,1
2,3,2
2,3,1
2,3,2
1,3,2
2,3,2
2,3,2
2,1,1
2,2,2
2,1,1
2,2,1
2,3,2
2,3,2
2,1,2
2,2,2
1,3,2
2,3,2
2,2,2
2,1,2
2,1,1
2,2,2
2,3,2
2,3,2
2,2,1
2,2,2
2,3,2
2,2,2
2,3,2
2,3,2
2,2,2
2,2,2
2,3,2
2,2,2
2,2,2
2,2,2
2,3,2
1,2,2
2,1,1
2,3,2
1,3,2
1,2,2
2,2,1
2,3,1
2,2,2
2,2,2
1,3,2
2,3,2
2,3,1
2,2,2
2,3,1
1,2,2
2,1,2
2,3,2
2,2,2
1,3,2
2,3,2
2,3,2
2,3,2
2,3,2
1,2,1
2,3,2
1,3,1
2,3,2
2,3,2
2,3,2
2,1,2
2,3,2
2,3,1
1,3,2
2,3,2
2,2,1
1,3,2
2,3,1
2,3,2
2,3,2
2,2,2
2,1,2
2,3,2
2,3,2
2,1,2
2,3,2
2,3,2
2,2,1
2,3,2
2,2,2
1,3,2
2,3,2
2,2,2
1,3,2
2,3,2
2,3,2
2,2,1
2,2,2
2,3,2
2,3,2
2,3,1
2,2,2
2,2,1
1,3,2
2,1,2
2,3,2
2,3,2
2,3,1
2,2,2
2,2,2
2,2,2
2,3,2
2,2,2
1,3,1
1,3,2
2,3,2
2,3,2
2,2,2
2,3,2
2,3,2
2,3,2
2,3,1
2,1,2
2,3,2
2,2,2
2,2,2
2,3,2
2,3,2
1,1,2
2,2,1
1,2,1
2,2,2
2,3,2
2,2,2
2,3,2
2,3,2
2,2,2
1,3,1
2,2,2
2,3,1
2,2,1
1,3,1
2,1,2
1,3,2
2,3,1
2,3,2
2,3,2
2,2,2
2,2,2
2,3,2
1,3,2
2,3,2
2,1,2
2,3,1
2,3,2
2,2,2
2,1,2
2,2,1
2,2,1
2,3,2
1,2,2
2,3,2
2,2,1
1,2,2
2,3,1
2,2,2
2,3,2
1,2,2
2,3,1
2,3,2
1,3,1
2,3,2
2,3,2
1,3,2
2,2,2
2,3,2
2,3,1
2,3,1
2,3,2
2,2,2
1,3,1
2,3,2
2,1,2
2,3,1
2,3,1
2,2,2
2,3,2
2,2,2
2,3,2
2,2,2
2,3,2
2,3,2
2,3,2
2,3,1
2,1,1
2,3,2
2,3,1
2,1,2
2,2,1
1,2,1
1,3,1
1,3,2
2,3,2
2,3,1
1,2,2
2,3,1
2,1,2
2,3,2
2,2,2
2,3,2
2,2,2
1,3,2
2,3,2
2,3,2
2,3,2
2,2,2
2,3,2
1,3,2
2,1,2
2,3,1
2,3,2
2,3,2
2,3,2
2,3,2
2,2,1
2,2,2
2,2,2
2,1,2
2,2,2
1,3,2
2,3,2
1,3,1
2,3,2
2,3,2
1,3,2
2,3,1
2,3,2
2,2,1
2,1,2
1,3,2
2,3,2
2,2,2
2,3,2
2,3,1
2,3,2
2,3,2
2,1,2
2,3,2
1,3,2
2,2,2
2,3,2
2,3,2
2,3,2
2,3,2
2,1,2
2,3,1
2,3,2
2,3,2
2,3,1
2,3,1
1,2,2
2,2,2
1,3,2
2,3,1
2,2,1
2,1,2
1,1,2
2,3,2
2,3,2
2,2,2
2,2,1
2,3,1
2,2,1
1,3,1
1,2,1
2,3,2
2,2,1
2,3,1
2,2,2
2,3,2
2,3,2
2,3,2
2,3,2
2,2,2
1,3,2
1,2,1
2,2,2
2,2,2
2,3,2
2,3,2
2,3,1
1,3,2
2,3,1
2,1,2
2,2,2
2,2,2
1,3,2
2,2,2
2,3,1
2,3,2
2,3,2
2,3,2
2,3,2
1,3,1
1,3,2
2,3,1
2,3,2
2,1,2
1,3,2
2,2,2
1,2,2
2,3,2
2,3,2
2,1,2
2,3,2
1,3,2
2,3,1
2,2,2
2,3,2
1,3,1
2,2,1
2,3,2
2,3,2
2,2,2
1,3,2
2,1,2
2,3,2
2,1,2
2,3,2
2,3,1
2,1,2
2,3,2
2,3,2
2,3,1
2,3,2
2,3,1
2,2,2
2,3,1
2,2,2
2,3,2
1,3,2
2,2,2
2,2,1
1,3,2
2,3,2
2,3,2
2,3,1
2,2,1
2,3,2
2,2,2
2,3,2
2,3,1
1,2,2
2,2,2
1,1,2
2,3,2
2,1,1
2,1,2
2,2,1
1,3,1
2,3,2
2,3,1
2,2,2
2,2,2
2,3,2
2,3,2
2,2,2
2,3,2
2,3,2
2,3,2
2,3,2
2,3,1
2,2,1
1,3,2
2,3,1
1,3,2
2,2,2
1,2,2
2,3,2
2,3,2
2,2,1
2,3,2
2,2,2
1,2,2
2,3,2
1,2,2
2,3,2
1,3,1
2,3,2
2,3,2
2,2,2
2,3,2
2,2,1
2,3,2
2,3,2
1,3,1
2,3,2
2,3,2
2,3,2
2,2,2
1,3,2
2,3,2
2,1,2
1,3,2
2,1,2
2,2,2
2,2,2
1,3,2
2,3,2
2,3,2
2,3,1
1,3,1
2,3,2
2,1,2
2,3,2
2,3,2
2,2,2
2,3,2
2,3,2
2,3,2
2,3,2
2,3,2
1,3,2
2,3,2
2,2,2
2,2,2
2,3,1
2,2,2
1,3,2
2,2,2
2,3,2
2,3,1
1,3,2
2,2,2
1,3,2
1,3,2
2,1,2
2,1,2
2,3,2
2,2,1
1,3,1
1,3,2
2,3,2
2,3,2
2,2,2
1,2,2
2,2,2
2,1,2
2,3,2
2,3,2
2,2,2
1,3,2
2,3,1
2,3,2
2,3,1
